订单号,客户,板件条码,板件备注,项目地址,房间,厚度,材质,高光板,颜色,板件名称,成品长度,成品宽度,数量,纹理,前封边,后封边,左封边,右封边,门板
250704-989,朗力,	7515996613101,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_左立板01,1364,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613132,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_右立板01,1364,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613163,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_顶板01,564,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613217,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_横隔板03,564,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613309,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_横隔板02,564,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613446,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_右立板02,486,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613514,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_左立板02,486,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613750,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_踢脚线01_踢脚线前挡板01,60,564,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613767,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_踢脚线01_踢脚线后挡板01,60,564,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613736,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_底板01,564,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613828,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_背板01,1268,564,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613859,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_横隔板01,564,482,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613934,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_背板02,450,564,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613972,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉04_抽屉面板01,186,561,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613989,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉04_抽盒前板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613996,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉04_抽屉右板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614009,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉04_抽屉左板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614016,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉04_抽屉后板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613958,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉04_抽屉底板01,515,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614252,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉03_抽屉面板01,184,561,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614269,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉03_抽盒前板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614276,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉03_抽屉右板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614283,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉03_抽屉左板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614290,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉03_抽屉后板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614238,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉03_抽屉底板01,515,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614436,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉02_抽屉面板01,184,561,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614443,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉02_抽盒前板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614450,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉02_抽屉右板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614467,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉02_抽屉左板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614474,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉02_抽屉后板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614412,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉02_抽屉底板01,515,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614580,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉01_抽屉面板01,184,561,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614597,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉01_抽盒前板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614603,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉01_抽屉右板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614610,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉01_抽屉左板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614627,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉01_抽屉后板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614566,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉01_抽屉底板01,515,390,1,无纹理,1,1,1,1,非门板
