订单号,客户,板件条码,板件备注,项目地址,房间,厚度,材质,高光板,颜色,板件名称,成品长度,成品宽度,数量,纹理,前封边,后封边,左封边,右封边,门板
250727-1021,朗力,	7535873037882,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜B_底板01,864,535,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873037912,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜B_右立板01,837,285,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873037950,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜B_左立板01,837,535,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873037998,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜B_顶板01,828,507,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873038032,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜B_背板01,819,728,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873038346,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜B_收口条01_L收口辅板01,855,70,1,无纹理,1,1,1,1,非门板
250727-1021,朗力,	7535873038353,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜B_收口条01_L收口面板01,855,30,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873038476,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜B_竖隔板01,855,325,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873038834,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜B_柜门01_单开门01_右开,825,535,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873039039,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜B_横隔板01,828,517,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873039244,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜B_切角板01,819,100,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873039251,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜B_切角板02,819,250,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873039428,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_底板01,547,295,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873039459,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_右立板01,837,295,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873039497,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_左立板01,837,295,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873039534,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_顶板01,511,267,1,竖纹,1,1,1,1,非门板
